date,code,name,open,high,low,close,volume,amount,ret20_pct,ma20,ma60,bias_pct,trend,market_signal,convex,nav_like,qdii,asset,premium_pb,pb_is_default,latest_signal,last_signal,profit_since_last_signal,momentum_rank,score,score_rank,status_mark,target_holdings
2026-07-17,159985.SZ,豆粕,2.166,2.188,2.072,2.123,3940564.0,835842272.0,5.2553296975706765,2.0787,2.085716666666667,2.131139654591818,↗,★,↘,1.6624902114330464,False,commodity,1.07,False,-,0707_B,-1.3017201301719905,1,17.255329697570676,2,×××,中概互联网|华宝油气
2026-07-17,162411.SZ,华宝油气,0.877,0.882,0.868,0.877,1403261.18,122821472.0,3.90995260663507,0.83295,0.8663666666666667,5.288432679032362,↗,★,↗,2.9931740614334474,True,commodity_equity,0.98,False,0720_B,0716_S,-,2,17.90995260663507,1,√×√,中概互联网|华宝油气
2026-07-17,513050.SH,中概互联网,1.146,1.155,1.089,1.097,41396177.32,4602456754.0,1.012891344383049,1.0374500000000002,1.1171499999999999,5.740035664369336,↗,★,↘,0.5258868648130394,True,overseas_equity,0.99,False,-,0716_B,-4.192139737991274,3,17.01289134438305,3,×√√,中概互联网|华宝油气
2026-07-17,164824.SZ,印度,1.28,1.293,1.28,1.291,248650.35,31976224.0,-0.3088803088803105,1.3007,1.2918666666666667,-0.7457522872299616,↘,●,↗,1.250968992248062,True,overseas_equity,1.01,False,-,0715_S,-,4,-1017.3088803088804,6,×××,中概互联网|华宝油气
2026-07-17,513030.SH,德国,1.758,1.762,1.741,1.749,581323.0,101629881.0,-0.34188034188032956,1.7778500000000002,1.7921000000000002,-1.622746575920353,↘,●,↘,1.532865907099036,True,overseas_equity,1.02,False,-,0716_S,-,5,-1019.3418803418804,7,×××,中概互联网|华宝油气
2026-07-17,512890.SH,红利低波,1.141,1.155,1.14,1.146,9874209.94,1135204391.0,-1.2919896640826933,1.1084,1.1492666666666667,3.3922771562612697,↗,●,↗,1.736363636363636,False,china_equity,1.0,True,-,0501_S,-,6,-993.2919896640827,4,×××,中概互联网|华宝油气
2026-07-17,511380.SH,可转债,13.759,13.78,13.68,13.691,7303398.15,10029381323.0,-1.7086653743987323,13.905550000000002,14.0875,-1.5429091262121997,↘,●,↘,1.3174557351809086,False,bond,1.0,True,-,0521_S,-,7,-1020.7086653743987,8,×××,中概互联网|华宝油气
2026-07-17,588000.SH,科创50,1.922,1.945,1.791,1.807,76598841.07,14287477011.0,-2.006507592190898,2.1259,1.8938166666666667,-15.000705583517583,↘,●,↘,1.2342896174863387,False,china_equity,1.01,False,0720_S,0618_B,-10.411502231036195,8,-1017.0065075921909,5,√√×,中概互联网|华宝油气
2026-07-17,520830.SH,沙特,0.877,0.878,0.872,0.873,204154.0,17849191.0,-3.854625550660795,0.889,0.9035166666666666,-1.7997750281214864,↘,●,↘,0.8098330241187384,True,overseas_equity,0.99,False,-,0428_S,-,9,-1022.8546255506608,9,×××,中概互联网|华宝油气
2026-07-17,513100.SH,纳指,2.134,2.135,2.103,2.107,3166578.33,670696487.0,-6.6873339238263885,2.1757,2.139816666666667,-3.1576044491427924,↘,●,↘,2.4302191464821226,True,overseas_equity,1.07,False,-,0624_S,-,10,-1035.6873339238264,14,×××,中概互联网|华宝油气
2026-07-17,518880.SH,黄金,8.291,8.326,8.256,8.311,2844768.6,2358048522.0,-6.910842293906816,8.47135,9.112466666666668,-1.8928506082265484,↘,●,↘,2.129933367503844,False,commodity,1.0,True,-,0309_S,-,11,-1025.9108422939069,10,×××,中概互联网|华宝油气
2026-07-17,159338.SZ,中证A500,1.235,1.238,1.182,1.195,32970537.79,3985496888.0,-7.650695517774341,1.29555,1.2919333333333332,-7.761182509358955,↘,●,↘,1.2821888412017168,False,china_equity,1.0,True,-,0708_S,-,12,-1026.6506955177742,11,×××,中概互联网|华宝油气
2026-07-17,513520.SH,日经225,2.217,2.218,2.128,2.163,2555690.22,554853819.0,-11.678236014699884,2.4114,2.2644500000000005,-10.301069917890027,↘,●,↘,1.713946117274168,True,overseas_equity,1.08,False,-,0709_S,-,13,-1040.6782360147,15,×××,中概互联网|华宝油气
2026-07-17,563300.SH,中证2000,1.403,1.411,1.311,1.327,7031423.52,951328854.0,-16.171825647504733,1.53925,1.5682833333333333,-13.789183043690112,↘,●,↘,1.345841784989858,False,china_equity,1.0,True,-,0708_S,-,14,-1035.1718256475046,12,×××,中概互联网|华宝油气
2026-07-17,159949.SZ,创业板50,1.741,1.743,1.612,1.639,27437154.22,4589047439.0,-16.24936126724579,1.9225999999999999,1.8993499999999999,-14.750858212836782,↘,●,↘,1.2675947409126065,False,china_equity,1.0,True,-,0703_S,-,15,-1035.2493612672458,13,×××,中概互联网|华宝油气
