date,code,name,open,high,low,close,volume,amount,ret20_pct,ma20,ma60,bias_pct,trend,market_signal,convex,nav_like,qdii,asset,premium_pb,pb_is_default,latest_signal,last_signal,profit_since_last_signal,momentum_rank,score,score_rank,status_mark,target_holdings
2026-07-09,588000.SH,科创50,2.166,2.333,2.15,2.328,45434459.65,10154782886.0,27.70159078442127,2.07355,1.8391333333333333,12.271225675773433,↗,★,↗,1.5901639344262295,False,china_equity,1.01,False,-,0615_B,25.498652291105106,1,39.70159078442127,1,√√√,科创50|日经225
2026-07-09,159985.SZ,豆粕,2.18,2.198,2.115,2.157,2597977.42,559744958.0,5.014605647517056,2.0411,2.0805833333333337,5.6783107148106415,↗,★,↘,1.6891151135473768,False,commodity,1.01,False,-,0401_S,-,2,-985.9853943524829,4,×××,科创50|日经225
2026-07-09,164824.SZ,印度,1.293,1.294,1.279,1.293,483728.96,62275350.0,3.0278884462151323,1.3012,1.2945166666666668,-0.6301875192130324,-,-,↘,1.252906976744186,True,overseas_equity,0.99,False,-,0624_B,-1.6730038022813698,3,7.027888446215132,3,×××,科创50|日经225
2026-07-09,159338.SZ,中证A500,1.27,1.305,1.26,1.3,29375943.72,3749658965.0,-0.3831417624520994,1.307,1.2911499999999998,-0.535577658760511,-,●,↗,1.3948497854077253,False,china_equity,1.0,True,-,0702_S,-,4,-997.383141762452,6,×××,科创50|日经225
2026-07-09,511380.SH,可转债,13.872,13.965,13.778,13.955,5635301.18,7811271426.0,-0.908897252005969,13.97175,14.116150000000001,-0.11988476747722965,-,●,↗,1.3428598922247883,False,bond,1.0,True,-,0520_S,-,5,-997.908897252006,7,×××,科创50|日经225
2026-07-09,513030.SH,德国,1.781,1.803,1.774,1.787,654103.0,116867793.0,-1.325234676974052,1.7785,1.7935666666666668,0.477930840595997,↗,●,↘,1.5661700262927256,True,overseas_equity,0.99,False,-,0703_B,-2.4563318777292675,6,7.674765323025948,2,×××,科创50|日经225
2026-07-09,513520.SH,日经225,2.38,2.386,2.325,2.345,2925478.06,688081961.0,-1.5533165407220828,2.44775,2.2361,-4.197732611582062,-,●,↗,1.858161648177496,True,overseas_equity,1.09,False,-,0708_S,-,7,-994.5533165407221,5,√√×,科创50|日经225
2026-07-09,520830.SH,沙特,0.887,0.889,0.886,0.888,275915.0,24488816.0,-1.7699115044247815,0.8952500000000001,0.9090833333333334,-0.8098296565205332,↘,●,↗,0.823747680890538,True,overseas_equity,1.0,True,-,0427_S,-,8,-1018.7699115044247,12,×××,科创50|日经225
2026-07-09,563300.SH,中证2000,1.496,1.521,1.459,1.515,3775736.7,564907866.0,-2.446877012234383,1.58255,1.5762,-4.268427537834507,↘,●,↗,1.5365111561866125,False,china_equity,1.0,True,-,0601_S,-,9,-1019.4468770122344,13,×××,科创50|日经225
2026-07-09,162411.SZ,华宝油气,0.859,0.866,0.849,0.849,1391712.5,119513564.0,-4.499437570303721,0.82455,0.868,2.9652537747862473,-,●,↗,2.8976109215017067,True,commodity_equity,1.0,True,-,0525_S,-,10,-1001.4994375703037,8,×××,科创50|日经225
2026-07-09,159949.SZ,创业板50,1.853,1.926,1.817,1.926,15795402.79,2953647501.0,-4.5116509667823435,1.9752500000000002,1.8930333333333336,-2.493355271484632,-,●,↗,1.4895591647331787,False,china_equity,1.0,True,-,0702_S,-,11,-1001.5116509667823,9,×××,科创50|日经225
2026-07-09,513050.SH,中概互联网,1.106,1.125,1.081,1.088,42832251.0,4716411695.0,-5.719237435008651,1.0257,1.1296000000000002,6.07390075070684,-,●,↗,0.5215723873441995,True,overseas_equity,0.99,False,-,0511_S,-,12,-1002.7192374350086,10,×××,科创50|日经225
2026-07-09,513100.SH,纳指,2.157,2.169,2.147,2.166,2235308.5,482350560.0,-5.785123966942152,2.19575,2.1098500000000002,-1.3548901286576265,-,●,↗,2.4982698961937717,True,overseas_equity,1.07,False,-,0623_S,-,13,-1012.7851239669421,11,×××,科创50|日经225
2026-07-09,512890.SH,红利低波,1.116,1.116,1.103,1.105,8054445.25,892711406.0,-5.797101449275366,1.1122999999999998,1.1541333333333335,-0.6562977613952969,↘,●,↘,1.674242424242424,False,china_equity,1.0,True,-,0407_S,-,14,-1024.7971014492753,14,×××,科创50|日经225
2026-07-09,518880.SH,黄金,8.495,8.55,8.446,8.544,2454206.53,2084790591.0,-7.94095463850878,8.5979,9.27555,-0.6268972656113592,↘,●,↗,2.1896463352127116,False,commodity,1.0,True,-,0313_S,-,15,-1024.9409546385089,15,×××,科创50|日经225
