date,code,name,open,high,low,close,volume,amount,ret20_pct,ma20,ma60,bias_pct,trend,market_signal,convex,nav_like,qdii,asset,premium_pb,pb_is_default,latest_signal,last_signal,profit_since_last_signal,momentum_rank,score,score_rank,status_mark,target_holdings
2026-07-08,588000.SH,科创50,2.142,2.208,2.083,2.145,35749751.91,7689417203.0,20.43795620437956,2.04435,1.8242833333333335,4.923325262308298,↗,★,↘,1.4651639344262295,False,china_equity,1.01,False,-,0615_B,15.633423180592999,1,36.43795620437956,1,√√√,科创50|印度
2026-07-08,159985.SZ,豆粕,2.151,2.195,2.14,2.18,2409923.0,522435610.0,6.549364613880759,2.0335,2.0793333333333335,7.204327514138198,↗,★,↗,1.707126076742365,False,commodity,1.01,False,-,0401_S,-,2,-982.4506353861192,4,×××,科创50|印度
2026-07-08,164824.SZ,印度,1.31,1.318,1.304,1.306,167722.26,21980330.0,3.322784810126578,1.30005,1.2947833333333334,0.4576747048190555,↗,★,↘,1.2655038759689923,True,overseas_equity,0.99,False,-,0624_B,-0.684410646387823,3,15.322784810126578,2,××√,科创50|印度
2026-07-08,513520.SH,日经225,2.406,2.408,2.336,2.343,2044604.63,484911371.0,0.9043927648578753,2.443,2.22945,-4.093327875562835,↘,●,↘,1.8565768621236132,True,overseas_equity,1.09,False,0709_S,0522_B,6.066093254866445,4,-1014.0956072351421,8,√√×,科创50|印度
2026-07-08,513030.SH,德国,1.83,1.852,1.798,1.802,860436.0,156577266.0,-1.1519473395501856,1.7767,1.7935,1.4239882929025782,↗,●,↘,1.57931638913234,True,overseas_equity,0.99,False,-,0703_B,-1.637554585152845,5,7.848052660449815,3,×××,科创50|印度
2026-07-08,520830.SH,沙特,0.887,0.889,0.884,0.885,265591.0,23558704.0,-1.4476614699331813,0.8957499999999999,0.90985,-1.200111638291923,↘,●,↘,0.820964749536178,True,overseas_equity,1.0,True,-,0427_S,-,6,-1020.4476614699332,9,×××,科创50|印度
2026-07-08,511380.SH,可转债,13.912,13.922,13.817,13.853,5846995.79,8104863634.0,-1.8978825862191129,13.9625,14.116566666666667,-0.7842435094001843,↘,●,↘,1.333044649730562,False,bond,1.0,True,-,0520_S,-,7,-1020.8978825862191,10,×××,科创50|印度
2026-07-08,159338.SZ,中证A500,1.281,1.291,1.265,1.267,30041337.0,3831644922.0,-2.23765432098767,1.3047,1.289866666666667,-2.889553153981761,↘,●,↘,1.3594420600858368,False,china_equity,1.0,True,-,0702_S,-,8,-1021.2376543209876,11,×××,科创50|印度
2026-07-08,563300.SH,中证2000,1.53,1.532,1.489,1.493,2536718.61,381673693.0,-3.677419354838707,1.58285,1.5755333333333332,-5.676469659159111,↘,●,↘,1.5141987829614605,False,china_equity,1.0,True,-,0601_S,-,9,-1022.6774193548387,12,×××,科创50|印度
2026-07-08,162411.SZ,华宝油气,0.838,0.847,0.836,0.842,1695511.68,142730460.0,-3.77142857142857,0.825,0.86895,2.0606060606060517,-,●,↗,2.8737201365187715,True,commodity_equity,1.0,True,-,0525_S,-,10,-1000.7714285714286,5,×××,科创50|印度
2026-07-08,512890.SH,红利低波,1.103,1.121,1.098,1.12,8732696.2,971913630.0,-5.245346869712342,1.11565,1.1554,0.3899072289696548,-,●,↗,1.696969696969697,False,china_equity,1.0,True,-,0407_S,-,11,-1002.2453468697123,6,×××,科创50|印度
2026-07-08,159949.SZ,创业板50,1.868,1.892,1.824,1.832,11372449.44,2109894267.0,-7.474747474747467,1.97255,1.8882,-7.125294669336646,↘,●,↘,1.4168600154679043,False,china_equity,1.0,True,-,0702_S,-,12,-1026.4747474747476,13,×××,科创50|印度
2026-07-08,513050.SH,中概互联网,1.043,1.107,1.041,1.092,46455590.67,5001909576.0,-7.692307692307687,1.0264,1.1316,6.391270459859721,-,●,↗,0.5234899328859061,True,overseas_equity,0.99,False,-,0511_S,-,13,-1004.6923076923077,7,×××,科创50|印度
2026-07-08,513100.SH,纳指,2.161,2.164,2.14,2.141,1910141.96,410933339.0,-8.62142552283397,2.1946,2.1039000000000003,-2.442358516358323,↘,●,↘,2.4694348327566322,True,overseas_equity,1.07,False,-,0623_S,-,14,-1037.621425522834,15,×××,科创50|印度
2026-07-08,518880.SH,黄金,8.543,8.605,8.53,8.589,2410681.82,2068067225.0,-8.724760892667371,8.6075,9.29935,-0.21492884112691568,↘,●,↘,2.201178882624295,False,commodity,1.0,True,-,0313_S,-,15,-1027.7247608926673,14,×××,科创50|印度
