date,code,name,weight,strategy_weight,position_scale
2021-05-06,513100.SH,纳指,0.25,0.5,0.5
2021-05-07,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-07,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-10,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-10,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-11,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-11,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-12,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-12,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-13,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-13,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-14,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-14,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-17,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-17,512890.SH,红利低波,0.25,0.5,0.5
2021-05-18,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-18,512890.SH,红利低波,0.25,0.5,0.5
2021-05-19,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-19,512890.SH,红利低波,0.25,0.5,0.5
2021-05-20,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-20,512890.SH,红利低波,0.25,0.5,0.5
2021-05-21,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-21,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-24,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-24,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-25,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-25,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-26,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-26,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-27,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-27,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-28,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-28,162411.SZ,华宝油气,0.25,0.5,0.5
2021-05-31,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-31,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-01,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-01,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-02,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-02,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-03,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-03,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-04,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-04,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-07,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-07,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-08,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-08,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-09,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-09,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-10,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-10,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-11,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-11,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-15,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-15,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-16,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-16,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-17,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-17,588000.SH,科创50,0.25,0.5,0.5
2021-06-18,588000.SH,科创50,0.25,0.5,0.5
2021-06-18,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-21,588000.SH,科创50,0.25,0.5,0.5
2021-06-21,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-22,588000.SH,科创50,0.25,0.5,0.5
2021-06-22,159949.SZ,创业板50,0.25,0.5,0.5
2021-06-23,588000.SH,科创50,0.25,0.5,0.5
2021-06-23,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-24,588000.SH,科创50,0.25,0.5,0.5
2021-06-24,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-25,588000.SH,科创50,0.25,0.5,0.5
2021-06-25,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-28,588000.SH,科创50,0.25,0.5,0.5
